task,model,horizon,seed,T,success,time_to_goal,hazard_contacts,min_dist_to_goal,final_dist_to_goal,forward_frac,turn_frac,stay_frac,unique_pos_frac,mean_Ns,mean_alpha_eff,mean_valence,mean_arousal
corridor,Recon,12,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,12,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,12,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,12,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,12,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.5225045023412511,,,
corridor,Recon,12,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.5,,,
corridor,Recon,12,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.5367512310762089,,,
corridor,Recon,12,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.583351335167332,,,
corridor,Recon,12,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.5024682216749926,,,
corridor,Recon,12,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.533570258630373,,,
corridor,Recon,12,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.522564331135486,,,
corridor,Recon,12,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.5229628736448436,,,
corridor,Recon,12,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.5037790649295444,,,
corridor,Recon,12,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.5417877477539987,,,
corridor,Recon,13,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,13,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,13,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,13,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,13,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,13,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,13,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,13,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,13,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,13,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,13,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.5225045023412511,,,
corridor,Recon,13,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.5,,,
corridor,Recon,13,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.5367512310762089,,,
corridor,Recon,13,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.583351335167332,,,
corridor,Recon,13,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.5024682216749926,,,
corridor,Recon,13,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.533570258630373,,,
corridor,Recon,13,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.522564331135486,,,
corridor,Recon,13,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.5229628736448436,,,
corridor,Recon,13,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.5037790649295444,,,
corridor,Recon,13,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.5417877477539987,,,
corridor,Recon,14,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,14,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,14,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,14,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,14,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,14,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,14,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,14,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,14,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,14,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,14,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.5225045023412511,,,
corridor,Recon,14,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.5,,,
corridor,Recon,14,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.5367512310762089,,,
corridor,Recon,14,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.583351335167332,,,
corridor,Recon,14,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.5024682216749926,,,
corridor,Recon,14,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.533570258630373,,,
corridor,Recon,14,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.522564331135486,,,
corridor,Recon,14,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.5229628736448436,,,
corridor,Recon,14,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.5037790649295444,,,
corridor,Recon,14,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.5417877477539987,,,
corridor,Recon,15,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,15,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,15,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,15,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,15,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,15,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,15,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,15,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,15,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,15,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,15,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.5225045023412511,,,
corridor,Recon,15,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.5,,,
corridor,Recon,15,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.5367512310762089,,,
corridor,Recon,15,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.583351335167332,,,
corridor,Recon,15,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.5024682216749926,,,
corridor,Recon,15,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.533570258630373,,,
corridor,Recon,15,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.522564331135486,,,
corridor,Recon,15,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.5229628736448436,,,
corridor,Recon,15,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.5037790649295444,,,
corridor,Recon,15,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.5417877477539987,,,
corridor,Recon,16,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,16,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,16,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,16,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,16,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,16,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,16,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,16,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,16,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,16,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,16,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.5225045023412511,,,
corridor,Recon,16,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.5,,,
corridor,Recon,16,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.5367512310762089,,,
corridor,Recon,16,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.583351335167332,,,
corridor,Recon,16,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.5024682216749926,,,
corridor,Recon,16,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.533570258630373,,,
corridor,Recon,16,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.522564331135486,,,
corridor,Recon,16,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.5229628736448436,,,
corridor,Recon,16,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.5037790649295444,,,
corridor,Recon,16,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.5417877477539987,,,
corridor,Recon,17,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,17,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,17,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,17,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,17,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,17,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,17,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,17,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,17,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,17,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,17,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.5225045023412511,,,
corridor,Recon,17,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.5,,,
corridor,Recon,17,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.5367512310762089,,,
corridor,Recon,17,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.583351335167332,,,
corridor,Recon,17,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.5024682216749926,,,
corridor,Recon,17,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.533570258630373,,,
corridor,Recon,17,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.522564331135486,,,
corridor,Recon,17,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.5229628736448436,,,
corridor,Recon,17,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.5037790649295444,,,
corridor,Recon,17,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.5417877477539987,,,
corridor,Recon,18,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,18,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,18,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,18,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,18,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,18,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,18,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,18,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,18,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,18,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,18,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.5225045023412511,,,
corridor,Recon,18,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.5,,,
corridor,Recon,18,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.5367512310762089,,,
corridor,Recon,18,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.583351335167332,,,
corridor,Recon,18,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.5024682216749926,,,
corridor,Recon,18,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.533570258630373,,,
corridor,Recon,18,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.522564331135486,,,
corridor,Recon,18,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.5229628736448436,,,
corridor,Recon,18,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.5037790649295444,,,
corridor,Recon,18,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.5417877477539987,,,
corridor,Recon,19,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,19,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,19,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,19,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,19,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,19,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,19,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,19,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,19,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,19,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,19,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.5225045023412511,,,
corridor,Recon,19,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.5,,,
corridor,Recon,19,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.5367512310762089,,,
corridor,Recon,19,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.583351335167332,,,
corridor,Recon,19,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.5024682216749926,,,
corridor,Recon,19,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.533570258630373,,,
corridor,Recon,19,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.522564331135486,,,
corridor,Recon,19,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.5229628736448436,,,
corridor,Recon,19,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.5037790649295444,,,
corridor,Recon,19,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.5417877477539987,,,
corridor,Recon,20,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,20,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,20,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,20,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,20,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,20,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,20,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,20,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,20,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,20,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,20,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.5225045023412511,,,
corridor,Recon,20,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.5,,,
corridor,Recon,20,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.5367512310762089,,,
corridor,Recon,20,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.583351335167332,,,
corridor,Recon,20,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.5024682216749926,,,
corridor,Recon,20,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.533570258630373,,,
corridor,Recon,20,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.522564331135486,,,
corridor,Recon,20,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.5229628736448436,,,
corridor,Recon,20,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.5037790649295444,,,
corridor,Recon,20,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.5417877477539987,,,
corridor,Ipsundrum,1,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.685935877826841,0.8445307554079357,,
corridor,Ipsundrum,1,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.6956883780262272,0.8404882700265486,,
corridor,Ipsundrum,1,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.6925018922019992,0.8410611777053468,,
corridor,Ipsundrum,1,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.692462248736154,0.8410766596358981,,
corridor,Ipsundrum,1,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.692459930238553,0.8410773183341982,,
corridor,Ipsundrum,1,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.7042140618784647,0.8377509887239141,,
corridor,Ipsundrum,1,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.6803328323678397,0.8454513025831119,,
corridor,Ipsundrum,1,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.7017013149703765,0.8390818836728391,,
corridor,Ipsundrum,1,8,80,True,15,3,0.0,16.0,0.9125,0.0875,0.0,0.525,0.7004906944447811,0.8398505355150251,,
corridor,Ipsundrum,1,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.6837474298930948,0.8448605111868257,,
corridor,Ipsundrum,1,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.6924345542747068,0.8410871923562004,,
corridor,Ipsundrum,1,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.6801988924798192,0.8455038942070967,,
corridor,Ipsundrum,1,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.7089090820270337,0.8385505077412512,,
corridor,Ipsundrum,1,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.7392132311403159,0.8316608611667802,,
corridor,Ipsundrum,1,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.6842437814889356,0.8448380598517595,,
corridor,Ipsundrum,1,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.7038010221353493,0.8393075747063712,,
corridor,Ipsundrum,1,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.692476977374344,0.8410708660484095,,
corridor,Ipsundrum,1,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.69325400905115,0.8410851358634769,,
corridor,Ipsundrum,1,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.6848166741440024,0.8437645916474084,,
corridor,Ipsundrum,1,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.7063672349131003,0.8369725814868758,,
corridor,Ipsundrum,2,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.685935877826841,0.8445307554079357,,
corridor,Ipsundrum,2,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.6956883780262272,0.8404882700265486,,
corridor,Ipsundrum,2,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.6925018922019992,0.8410611777053468,,
corridor,Ipsundrum,2,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.692462248736154,0.8410766596358981,,
corridor,Ipsundrum,2,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.692459930238553,0.8410773183341982,,
corridor,Ipsundrum,2,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.7042140618784647,0.8377509887239141,,
corridor,Ipsundrum,2,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.6803328323678397,0.8454513025831119,,
corridor,Ipsundrum,2,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.7017013149703765,0.8390818836728391,,
corridor,Ipsundrum,2,8,80,True,15,3,0.0,16.0,0.9125,0.0875,0.0,0.525,0.7004906944447811,0.8398505355150251,,
corridor,Ipsundrum,2,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.6837474298930948,0.8448605111868257,,
corridor,Ipsundrum,2,10,80,True,15,3,0.0,1.0,0.925,0.075,0.0,0.2875,0.6924345542747068,0.8410871923562004,,
corridor,Ipsundrum,2,11,80,False,80,0,14.0,16.1245154965971,0.925,0.075,0.0,0.075,0.6801988924798192,0.8455038942070967,,
corridor,Ipsundrum,2,12,80,False,80,4,7.0,16.1245154965971,0.925,0.075,0.0,0.375,0.7089090820270337,0.8385505077412512,,
corridor,Ipsundrum,2,13,80,False,80,10,6.0,14.142135623730951,0.9375,0.0625,0.0,0.3125,0.7392132311403159,0.8316608611667802,,
corridor,Ipsundrum,2,14,80,True,46,0,1.0,2.23606797749979,0.95,0.05,0.0,0.3125,0.6842437814889356,0.8448380598517595,,
corridor,Ipsundrum,2,15,80,False,80,4,8.0,13.341664064126334,0.9375,0.0625,0.0,0.25,0.7038010221353493,0.8393075747063712,,
corridor,Ipsundrum,2,16,80,True,15,3,0.0,3.605551275463989,0.9375,0.0625,0.0,0.325,0.692476977374344,0.8410708660484095,,
corridor,Ipsundrum,2,17,80,True,15,3,0.0,7.280109889280518,0.9625,0.0375,0.0,0.3375,0.69325400905115,0.8410851358634769,,
corridor,Ipsundrum,2,18,80,True,29,0,1.0,2.23606797749979,0.925,0.075,0.0,0.3,0.6848166741440024,0.8437645916474084,,
corridor,Ipsundrum,2,19,80,False,80,5,7.0,16.278820596099706,0.9375,0.0625,0.0,0.2625,0.7063672349131003,0.8369725814868758,,
corridor,Ipsundrum,3,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.685935877826841,0.8445307554079357,,
corridor,Ipsundrum,3,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.6956883780262272,0.8404882700265486,,
corridor,Ipsundrum,3,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.6925018922019992,0.8410611777053468,,
corridor,Ipsundrum,3,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.692462248736154,0.8410766596358981,,
corridor,Ipsundrum,3,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.692459930238553,0.8410773183341982,,
